Time,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6
6/4/22 11:29,14.5,17.2,17.6,18.1,24.7,20.1
6/4/22 11:29,24.1,19.5,28.6,34.6,31.7,19.1
6/4/22 11:29,12.9,13.7,22.7,20.7,22.0,21.3
6/4/22 11:29,18.4,18.9,30.7,17.6,29.1,32.0
6/4/22 11:29,13.1,22.4,15.3,21.9,17.4,16.1
6/4/22 11:29,20.8,20.4,22.7,16.7,19.6,18.3
6/4/22 11:29,25.2,25.3,26.7,36.0,35.4,42.0
6/4/22 11:29,57.3,60.9,38.0,45.9,38.7,52.1
6/4/22 11:29,86.8,85.6,76.0,60.0,94.8,60.3
6/4/22 11:29,107.9,101.3,104.6,87.5,100.8,96.6
6/4/22 11:29,120.3,114.5,128.6,93.3,102.6,96.6
6/4/22 11:29,167.6,179.3,111.1,195.0,115.2,194.2
6/4/22 11:29,160.5,225.0,290.9,199.0,254.9,237.5
6/4/22 11:29,378.5,385.6,320.5,249.1,299.8,293.9
6/4/22 11:29,349.8,394.4,269.4,253.5,299.4,423.6
6/4/22 11:29,287.7,516.5,424.2,301.6,367.2,356.5
6/4/22 11:29,530.2,372.3,471.7,620.3,552.0,494.4
6/4/22 11:29,572.9,647.3,614.9,438.5,460.4,586.4
6/4/22 11:29,722.3,431.1,524.2,727.8,440.6,480.2
6/4/22 11:29,652.0,490.3,778.4,620.9,628.2,753.1
6/4/22 11:29,635.0,682.7,387.3,493.5,696.3,482.7
6/4/22 11:29,483.6,494.1,413.9,414.6,394.7,360.9
6/4/22 11:29,353.2,323.3,255.1,405.0,260.7,266.2
6/4/22 11:29,189.8,169.8,189.5,212.8,163.3,174.1
6/4/22 11:29,57.9,57.8,51.7,52.4,44.8,60.7
6/4/22 11:29,21.1,17.5,26.5,20.8,23.6,21.8
6/4/22 11:29,29.3,19.7,28.8,29.7,20.3,18.3
6/4/22 11:29,20.1,18.6,21.9,23.2,25.7,21.6
6/4/22 11:29,19.1,13.9,15.9,15.2,18.3,17.6
6/4/22 11:29,24.6,21.7,24.4,26.1,17.2,24.7
6/4/22 11:29,13.4,13.3,19.7,13.5,22.9,23.5
6/4/22 11:29,30.1,34.4,32.9,24.4,30.7,25.6
6/4/22 11:29,22.4,19.2,16.6,18.1,16.4,21.1
6/4/22 11:29,18.0,19.0,26.8,27.7,23.1,26.3
6/4/22 11:29,13.9,22.0,15.3,12.7,21.3,14.0
6/4/22 11:29,18.7,19.7,16.4,18.0,24.0,26.5
6/4/22 11:29,37.7,29.4,43.8,43.9,33.7,25.1
6/4/22 11:29,54.0,37.8,52.1,37.2,64.3,36.7
6/4/22 11:29,86.3,58.9,57.6,86.6,70.3,56.1
6/4/22 11:29,124.6,127.6,78.1,124.2,84.6,127.1
6/4/22 11:29,140.4,140.8,99.6,157.3,111.3,142.2
6/4/22 11:29,128.9,155.0,116.7,187.2,169.2,117.1
